"model","term","estimate","conf.low","conf.high","p.value"
"Experimental design (articles only)","(Intercept)",0.172920638892474,0.118310794309488,0.248966822421712,2.1626777126281e-20
"Experimental design (articles only)","Modalitysimulation",3.97912750074943,2.61264368216071,6.05172656766864,1.03903436034511e-10
"Experimental design (articles only)","Modalityhybrid",1.10090787300399,0.83800931197239,1.43746927574888,0.484544819010671
"Experimental design (articles only)","Year_c",1.01512574496291,0.995904754720879,1.03516600482274,0.127734420993262
"Objective outcome (articles only)","(Intercept)",1.06529320495026,0.782209121448241,1.45459132817219,0.689174460364218
"Objective outcome (articles only)","Modalitysimulation",2.54397148483449,1.41376029554676,4.98845895941681,0.0034058268581498
"Objective outcome (articles only)","Modalityhybrid",2.06305035911322,1.57969190447349,2.71943544887613,1.6781277406429e-07
"Objective outcome (articles only)","Design_bin",2.40172866585013,1.76707664595955,3.3180073212475,4.73056483946271e-08
"Objective outcome (articles only)","Year_c",1.03369999619907,1.01652467355798,1.05112731902835,0.000102878398969541
"Clinical/procedural outcome (articles only)","(Intercept)",0.769597664737156,0.573850458422089,1.03195600290986,0.0800337499302526
"Clinical/procedural outcome (articles only)","Modalitysimulation",2.81236282221253,1.69512178681312,4.91300979142719,0.000127539886317895
"Clinical/procedural outcome (articles only)","Modalityhybrid",1.82464745961028,1.44589930915218,2.31271089793571,5.10582025280344e-07
"Clinical/procedural outcome (articles only)","Design_bin",1.52947023882915,1.18941825936013,1.97722029464658,0.00103739770066974
"Clinical/procedural outcome (articles only)","Year_c",1.02897616169175,1.01309627796072,1.04512820474149,0.000319554830233167
